timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1816791135,-6.91831,-6.83033,6.78422,1.0
1816802080,-6.908,-6.81944,6.72419,1.0
1816812925,-6.89721,-6.80876,6.71848,1.0
1816824089,-6.8861,-6.79775,6.71562,1.0
1816834901,-6.87487,-6.7866,6.71562,1.0
1816845726,-6.86445,-6.77645,6.71848,1.0
1816856480,-6.85639,-6.76853,6.72134,1.0
1816867399,-6.85141,-6.76419,6.77994,1.0
1816878149,-6.84859,-6.76155,6.78708,1.0
1816889005,-6.84744,-6.75982,6.73706,1.0
1816899990,-6.84814,-6.76042,6.72991,1.0
1816911240,-6.85057,-6.76255,6.71562,1.0
1816922117,-6.85581,-6.7679,6.71705,1.0
1816933266,-6.86364,-6.77555,6.71848,1.0
1816944105,-6.87284,-6.78465,6.71991,1.0
1816955311,-6.88393,-6.79582,6.72705,1.0
1816966387,-6.89646,-6.80802,6.72705,1.0
1816977628,-6.90933,-6.82068,6.72277,1.0
1816988489,-6.92329,-6.83462,6.73134,1.0
1816999330,-6.93816,-6.84911,6.71562,1.0
1817010432,-6.95226,-6.863,6.72419,1.0
1817021262,-6.96478,-6.87533,6.72134,1.0
1817032171,-6.97669,-6.88702,6.71562,1.0
1817043167,-6.98977,-6.89983,6.71848,1.0
1817054058,-7.00381,-6.9136,6.71991,1.0
1817064971,-7.01696,-6.92653,6.71562,1.0
1817075723,-7.02845,-6.93817,6.71991,1.0
1817087260,-7.03835,-6.948,6.71991,1.0
1817098372,-7.04607,-6.95632,6.77565,1.0
1817109267,-7.05133,-6.96139,6.77708,1.0
1817120077,-7.0552,-6.96556,6.78851,1.0
1817131273,-7.05851,-6.96855,6.77422,1.0
1817142002,-7.06214,-6.97142,6.71705,1.0
1817153574,-7.06748,-6.97679,6.71991,1.0
1817164484,-7.07414,-6.98331,6.71562,1.0
1817175345,-7.08032,-6.9894,6.71991,1.0
1817186088,-7.08515,-6.9942,6.72277,1.0
1817196958,-7.08867,-6.99762,6.71848,1.0
1817208076,-7.09191,-7.00072,6.71562,1.0
1817219260,-7.09588,-7.00546,6.78136,1.0
1817230313,-7.09979,-7.0094,6.78565,1.0
1817241237,-7.10352,-7.01237,6.71991,1.0
1817252041,-7.10689,-7.01574,6.71991,1.0
1817263263,-7.10826,-7.01705,6.71705,1.0
1817274122,-7.10708,-7.0159,6.71562,1.0
1817285535,-7.10373,-7.01254,6.71133,1.0
1817296416,-7.09926,-7.00818,6.72134,1.0
1817307303,-7.09444,-7.00343,6.72134,1.0
1817318333,-7.08925,-6.99811,6.71991,1.0
1817329682,-7.08371,-6.99284,6.72419,1.0
1817340836,-7.07869,-6.98783,6.71991,1.0
1817351997,-7.07588,-6.98502,6.71705,1.0
1817362835,-7.07593,-6.98515,6.72419,1.0
1817373725,-7.07831,-6.98751,6.73277,1.0
1817384474,-7.08111,-6.99,6.71133,1.0
1817395401,-7.08219,-6.99122,6.71276,1.0
1817406390,-7.08185,-6.99105,6.71991,1.0
1817417595,-7.08087,-6.99005,6.71991,1.0
1817428775,-7.07925,-6.98844,6.71991,1.0
1817439594,-7.07706,-6.9861,6.71848,1.0
1817450581,-7.07446,-6.98449,6.78708,1.0
1817461694,-7.07176,-6.98163,6.77136,1.0
1817472775,-7.06917,-6.97844,6.71848,1.0
1817483595,-7.0681,-6.97725,6.71562,1.0
1817494521,-7.07073,-6.97991,6.71562,1.0
1817505291,-7.07665,-6.98579,6.71848,1.0
1817516161,-7.08373,-6.99278,6.72419,1.0
1817527183,-7.09085,-6.99983,6.72277,1.0
1817538385,-7.09876,-7.00762,6.72134,1.0
1817549610,-7.1074,-7.01617,6.71991,1.0
1817560414,-7.11434,-7.02383,6.78422,1.0
1817571338,-7.11756,-7.02676,6.77565,1.0
1817582461,-7.11691,-7.0261,6.77422,1.0
1817593715,-7.11352,-7.02231,6.71991,1.0
1817604500,-7.10897,-7.01775,6.71705,1.0
1817615258,-7.10408,-7.01285,6.71705,1.0
1817626107,-7.09956,-7.00861,6.7342,1.0
1817636986,-7.09604,-7.00479,6.71562,1.0
1817647904,-7.09275,-7.00162,6.72419,1.0
1817658919,-7.0888,-6.99805,6.73134,1.0
1817670416,-7.08444,-6.99418,6.76564,1.0
1817681238,-7.08039,-6.99015,6.77708,1.0
1817692120,-7.07685,-6.9865,6.77279,1.0
1817703263,-7.07357,-6.98257,6.71705,1.0
1817714501,-7.07015,-6.97938,6.72419,1.0
1817725588,-7.06639,-6.97563,6.71276,1.0
1817736516,-7.06234,-6.97199,6.72991,1.0
1817747325,-7.05789,-6.96748,6.72134,1.0
1817758102,-7.05303,-6.96262,6.72705,1.0
1817768933,-7.04788,-6.95751,6.71991,1.0
1817779669,-7.04249,-6.95223,6.72848,1.0
1817790585,-7.03676,-6.94663,6.73277,1.0
1817801318,-7.03009,-6.94037,6.77279,1.0
1817812712,-7.0223,-6.93207,6.71562,1.0
1817823689,-7.01426,-6.92427,6.72705,1.0
1817834585,-7.00651,-6.91651,6.71991,1.0
1817845313,-6.99911,-6.9091,6.71991,1.0
1817856216,-6.99226,-6.90231,6.7099,1.0
1817867235,-6.98601,-6.8963,6.72277,1.0
1817878119,-6.98025,-6.89073,6.71562,1.0
1817889284,-6.9749,-6.88549,6.72134,1.0
1817900085,-6.97071,-6.88121,6.72419,1.0
1817910900,-6.96766,-6.87886,6.77708,1.0
1817921689,-6.96447,-6.8755,6.77136,1.0
1817932875,-6.96063,-6.87201,6.77708,1.0
1817943700,-6.95599,-6.86671,6.71848,1.0
1817955152,-6.95105,-6.86174,6.72419,1.0
1817966082,-6.94648,-6.85738,6.71991,1.0
1817976998,-6.94229,-6.85307,6.71991,1.0
1817988023,-6.93849,-6.84934,6.72134,1.0
1817999293,-6.93504,-6.84604,6.72134,1.0
1818010385,-6.93102,-6.84209,6.72562,1.0
1818021286,-6.92485,-6.83601,6.71562,1.0
1818032162,-6.91699,-6.82822,6.71276,1.0
1818042892,-6.91023,-6.82163,6.72277,1.0
1818054011,-6.9061,-6.81736,6.71276,1.0
1818065002,-6.90362,-6.81489,6.71276,1.0
1818075930,-6.90185,-6.81346,6.71991,1.0
1818086838,-6.90111,-6.81286,6.7442,1.0
1818097825,-6.90176,-6.81325,6.72134,1.0
1818108756,-6.90394,-6.81535,6.71705,1.0
1818119668,-6.90776,-6.81899,6.72562,1.0
1818130620,-6.91297,-6.82422,6.71848,1.0
