timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1816800547,32767,32767,32767,32767,-54,-72,32767
1816804542,-25,32767,32767,32767,32767,32767,32767
1816808545,32767,32767,-57,32767,32767,-48,32767
1816812556,4,32767,32767,32767,-74,32767,32767
1816816542,32767,32767,32767,32767,32767,32767,32767
1816820564,32767,32767,32767,32767,32767,-48,32767
1816824542,-5,32767,32767,32767,32767,32767,32767
1816828542,32767,32767,32767,32767,32767,-40,32767
1816832542,32767,32767,32767,32767,-73,32767,32767
1816836542,-16,32767,32767,32767,32767,32767,32767
1816840542,32767,32767,32767,32767,-52,-64,32767
1816844542,32767,32767,32767,32767,32767,32767,32767
1816848542,-28,32767,32767,32767,32767,-40,32767
1816852542,32767,32767,32767,32767,-70,32767,32767
1816856558,-1,32767,32767,32767,32767,32767,32767
1816860542,32767,32767,32767,32767,32767,-64,32767
1816864542,32767,32767,32767,32767,32767,32767,32767
1816868542,-12,32767,32767,32767,32767,32767,32767
1816872569,32767,32767,32767,32767,-69,-72,32767
1816876564,32767,32767,32767,32767,32767,32767,32767
1816880549,-24,32767,32767,32767,-48,-40,32767
1816884542,32767,32767,32767,32767,32767,32767,32767
1816888555,5,32767,32767,32767,32767,32767,32767
1816892542,32767,32767,32767,32767,-68,-72,32767
1816896542,32767,32767,32767,32767,32767,32767,32767
1816900542,-6,32767,32767,32767,32767,-40,32767
1816905342,32767,32767,32767,32767,32767,32767,32767
1816909342,32767,32767,32767,32767,32767,-40,32767
1816913367,-21,32767,32767,32767,-74,32767,32767
1816917342,32767,32767,32767,32767,32767,32767,32767
1816921342,32767,32767,32767,32767,-53,-48,32767
1816925342,-32,32767,32767,32767,32767,32767,32767
1816929342,32767,32767,32767,32767,32767,32767,32767
1816933342,-1,32767,32767,32767,-73,-70,32767
1816937342,32767,32767,32767,32767,32767,32767,32767
1816941342,32767,32767,32767,32767,32767,-48,32767
1816945493,-13,32767,32767,32767,32767,32767,32767
1816949342,32767,32767,32767,32767,32767,32767,32767
1816953351,32767,32767,32767,32767,-70,-72,32767
1816957345,-20,32767,32767,32767,32767,32767,32767
1816961342,32767,32767,32767,32767,-49,-48,32767
1816965342,32767,32767,32767,32767,32767,32767,32767
1816969349,-30,32767,32767,32767,32767,32767,32767
