timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
911323574,0.0,-4.53967e-05,0.0,0.0
1957214750,0.0,-4.53967e-05,0.0,0.0
1957416303,0.0143855,-0.0145974,-0.000330047,0.0
1957621993,0.0648135,-0.00278206,-0.000282275,0.0
1957822686,0.0615713,0.000866337,0.0126011,0.0
1958024347,0.0736224,-0.00157716,0.00945232,0.0
1958225316,0.0436956,-0.0134841,0.00389438,0.0
1958428386,0.0544135,-0.0262365,0.0012066,0.0
1958630412,0.0491667,-0.0370471,0.00591809,0.0
1958834809,0.0642112,-0.0468574,0.00251543,0.0
1959035619,0.0569563,-0.0569179,-0.00222358,0.0
1959237677,0.0714924,-0.067932,0.00662448,0.0
1959438791,0.0711008,-0.076711,0.0073013,0.0
1959640166,0.0600039,-0.0887254,0.0137452,0.0
1959840936,0.0723483,-0.0985994,0.0170598,0.0
1960041261,0.0728114,-0.107602,0.019103,0.0
1960246481,0.0745082,-0.116136,0.0216501,0.0
1960446868,0.0851762,-0.124652,0.0240033,0.0
1960648490,0.0756925,-0.135937,0.0237799,0.0
1960854168,0.072432,-0.146536,0.0288574,0.0
1961054917,0.0770036,-0.151538,0.0332529,0.0
1961255631,0.083493,-0.152912,0.0299473,0.0
1961457596,0.0731056,-0.157074,0.0329036,0.0
1961657620,0.0780909,-0.160094,0.0364958,0.0
1961864297,0.0798216,-0.166464,0.0405648,0.0
1962066054,0.0803781,-0.174794,0.0393016,0.0
1962268491,0.0890826,-0.182453,0.0379501,0.0
1962470390,0.0859492,-0.19284,0.036219,0.0
1962671570,0.0903703,-0.20281,0.0393445,0.0
1962871936,0.0954557,-0.210972,0.042481,0.0
1963077099,0.0948094,-0.21994,0.0441734,0.0
1963278399,0.0984776,-0.227782,0.0437758,0.0
1963479493,0.104525,-0.234324,0.0435374,0.0
1963681136,0.102504,-0.240067,0.0384814,0.0
1963885573,0.102264,-0.247556,0.041242,0.0
1964085996,0.101366,-0.253568,0.0406414,0.0
