timestamp,safety_switch_available,safety_off,override_available,override_enabled
1816783516,1,1,1,1
1817793943,1,1,1,1
1818792839,1,1,1,1
1819810748,1,1,1,1
1820803292,1,1,1,1
1821801110,1,1,1,1
1822798355,1,1,1,1
1823814121,1,1,1,1
1824811666,1,1,1,1
1825797611,1,1,1,1
1826810842,1,1,1,1
1827819318,1,1,1,1
1828808781,1,1,1,1
1829814326,1,1,1,1
1830816075,1,1,1,1
1831816783,1,1,1,1
1832825598,1,1,1,1
1833822405,1,1,1,1
1834819602,1,1,1,1
1835811965,1,1,1,1
1836818683,1,1,1,1
1837815145,1,1,1,1
1838816061,1,1,1,1
1839817566,1,1,1,1
1840815506,1,1,1,1
1841815687,1,1,1,1
1842816384,1,1,1,1
1843841905,1,1,1,1
1844838719,1,1,1,1
1845828001,1,1,1,1
1846833853,1,1,1,1
1847830676,1,1,1,1
1848831665,1,1,1,1
1849828309,1,1,1,1
1850826706,1,1,1,1
1851830427,1,1,1,1
1852843931,1,1,1,1
1853829539,1,1,1,1
1854838445,1,1,1,1
1855839209,1,1,1,1
1856840314,1,1,1,1
1857845884,1,1,1,1
1858862373,1,1,1,1
1859855969,1,1,1,1
1860868771,1,1,1,1
1861866718,1,1,1,1
1862864300,1,1,1,1
1863872326,1,1,1,1
1864865535,1,1,1,1
1865856162,1,1,1,1
1866856941,1,1,1,1
1867876836,1,1,1,1
1868877933,1,1,1,1
1869879210,1,1,1,1
1870872002,1,1,1,1
1871869530,1,1,1,1
1872874708,1,1,1,1
1873871606,1,1,1,1
1874872287,1,1,1,1
1875879293,1,1,1,1
1876887554,1,1,1,1
1877888130,1,1,1,1
1878881917,1,1,1,1
1879886493,1,1,1,1
1880887222,1,1,1,1
1881880392,1,1,1,1
1882877975,1,1,1,1
1883894717,1,1,1,1
1884896276,1,1,1,1
1885896828,1,1,1,1
1886882784,1,1,1,1
1887884009,1,1,1,1
1890902446,1,1,1,1
1891887564,1,1,1,1
1892887937,1,1,1,1
1893902801,1,1,1,1
1894899134,1,1,1,1
1895908082,1,1,1,1
1896889919,1,1,1,1
1897894590,1,1,1,1
1898895579,1,1,1,1
1899908773,1,1,1,1
1900905611,1,1,1,1
1901906775,1,1,1,1
1902896262,1,1,1,1
1903901111,1,1,1,1
1904902717,1,1,1,1
1905895135,1,1,1,1
1906895994,1,1,1,1
1907906121,1,1,1,1
1908910717,1,1,1,1
1909907930,1,1,1,1
1910924467,1,1,1,1
1911918838,1,1,1,1
1912923224,1,1,1,1
1913928402,1,1,1,1
1914917931,1,1,1,1
1915923206,1,1,1,1
1916927593,1,1,1,1
1917928448,1,1,1,1
1918934466,1,1,1,1
1919922835,1,1,1,1
1920920379,1,1,1,1
1921929559,1,1,1,1
1922930669,1,1,1,1
1923936029,1,1,1,1
1924944200,1,1,1,1
1925925662,1,1,1,1
1926926727,1,1,1,1
1927927238,1,1,1,1
1928948005,1,1,1,1
1929933733,1,1,1,1
1930950694,1,1,1,1
1931952004,1,1,1,1
1932948920,1,1,1,1
1933934383,1,1,1,1
1934943177,1,1,1,1
1935952152,1,1,1,1
1936947265,1,1,1,1
1937959173,1,1,1,1
1938947518,1,1,1,1
1939953590,1,1,1,1
1940961722,1,1,1,1
1941957945,1,1,1,1
1942952730,1,1,1,1
1943960783,1,1,1,1
1944962364,1,1,1,1
1945962686,1,1,1,1
1946960341,1,1,1,1
1947957974,1,1,1,1
1948962503,1,1,1,1
1949967988,1,1,1,1
1950959994,1,1,1,1
1951973896,1,1,1,1
1952978418,1,1,1,1
1953960270,1,1,1,1
1954980829,1,1,1,1
1955962706,1,1,1,1
1956963174,1,1,1,1
1957960082,1,1,1,0
1958970118,1,1,1,0
1959975143,1,1,1,0
1960984963,1,1,1,0
1961968836,1,1,1,0
1962974430,1,1,1,0
1963983235,1,1,1,0
1964968314,1,1,1,0
1965977619,1,1,1,0
1966987484,1,1,1,0
1967991527,1,1,1,0
1968980830,1,1,1,0
1969990469,1,1,1,0
1970987189,1,1,1,0
1971995580,1,1,1,0
1972992822,1,1,1,0
1973990652,1,1,1,0
1974991149,1,1,1,0
1976000279,1,1,1,0
1977009960,1,1,1,0
1977990445,1,1,1,0
1978999520,1,1,1,0
1980008833,1,1,1,0
1980990423,1,1,1,0
1982003182,1,1,1,0
1983007909,1,1,1,0
1983992759,1,1,1,0
1985002388,1,1,1,0
1986011263,1,1,1,0
1987016304,1,1,1,0
1988001576,1,1,1,0
1989007131,1,1,1,0
1990012457,1,1,1,0
1991000740,1,1,1,0
1992010830,1,1,1,0
1993016062,1,1,1,0
1994023942,1,1,1,0
1995008361,1,1,1,0
1996014337,1,1,1,0
1997027554,1,1,1,0
1998008304,1,1,1,0
1999017599,1,1,1,0
2000022894,1,1,1,0
2001032380,1,1,1,0
2002017663,1,1,1,0
2003027200,1,1,1,0
2004035540,1,1,1,0
2007035656,1,1,1,0
2008040341,1,1,1,0
2009028519,1,1,1,0
2010034664,1,1,1,0
2011043267,1,1,1,0
2012048507,1,1,1,0
2013038040,1,1,1,0
2014047260,1,1,1,0
2015051522,1,1,1,0
2016033702,1,1,1,0
2017041706,1,1,1,0
2018048378,1,1,1,0
2019056797,1,1,1,0
2020041652,1,1,1,0
2021051328,1,1,1,0
2022056484,1,1,1,0
2023040940,1,1,1,0
2024050492,1,1,1,0
2025058484,1,1,1,0
2026064920,1,1,1,0
2027053708,1,1,1,0
2028058509,1,1,1,0
2029063188,1,1,1,0
2030062830,1,1,1,0
2031066470,1,1,1,0
2032051243,1,1,1,0
2033055434,1,1,1,0
2034063963,1,1,1,0
2035073708,1,1,1,0
2036079643,1,1,1,0
2037065656,1,1,1,0
2038077652,1,1,1,0
2039074895,1,1,1,0
2040084764,1,1,1,0
2041072866,1,1,1,0
2042081664,1,1,1,0
2043087263,1,1,1,0
2044071146,1,1,1,0
2045081107,1,1,1,0
2046089912,1,1,1,0
2047071535,1,1,1,0
2048079581,1,1,1,0
2049089058,1,1,1,0
2050085569,1,1,1,0
2051087170,1,1,1,0
2052095984,1,1,1,0
