timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,total_energy_error,energy_distribution_error,total_energy_rate_error,energy_distribution_rate_error,throttle_integ,pitch_integ,mode
1957231418,170.095,170.095,-0.000518799,0.0,16.8551,11.4984,0.107133,0.937199,75.9341,-75.946,-1.90991,9.53937,0.013827,-7.5946,0
1957421007,170.384,170.731,2.10576,2.8636,14.8201,10.968,0.077042,-0.13821,46.265,-53.0736,-13.6639,-9.7928,0.0154978,-8.60472,0
1957637286,171.155,171.177,3.35638,1.41405,14.8247,10.2508,0.0914775,0.713537,57.1304,-57.5615,6.42167,25.4244,0.0175469,-9.82232,0
1957831223,172.006,171.478,3.56451,1.62091,14.8262,9.87765,0.0989703,1.80995,66.2956,-55.9515,6.52691,35.9607,0.0197704,-10.9342,0
1958024494,172.923,171.94,4.00732,2.86413,14.8241,10.2082,0.0923167,2.56764,67.4086,-48.1361,-6.72566,36.4795,0.0221585,-11.9414,0
1958241241,173.986,172.742,4.01161,3.79476,14.8248,11.1831,0.072835,2.33428,59.556,-35.1582,-19.5383,27.4164,0.0246621,-12.8306,0
1958434060,174.943,173.572,3.99209,4.64886,14.8244,11.9576,0.0573355,1.85698,51.8337,-24.9442,-23.616,15.0787,0.0265986,-13.3937,0
1958630555,175.91,174.641,4.13757,5.46062,14.8268,12.4595,0.0473462,1.34684,44.7422,-19.8531,-30.7416,3.21635,0.0282974,-13.8172,0
1958848477,177.002,175.893,3.94291,5.7109,14.8244,12.8847,0.0387943,0.798669,37.7463,-16.0015,-28.0051,-7.54725,0.0299213,-14.2019,0
1959040940,177.97,177.1,4.07163,6.76955,14.8272,13.126,0.0340241,0.473255,32.3155,-15.2388,-28.8022,-20.6922,0.0311185,-14.485,0
1959229592,178.927,178.439,4.05285,7.22449,14.8287,12.627,0.0440326,0.115519,35.0093,-25.438,-32.1758,-30.2005,0.0322754,-14.8747,0
1959447698,180.006,179.941,4.01871,6.47984,14.8278,12.6906,0.0427447,-0.302673,30.0442,-28.7693,-24.8444,-28.519,0.0335786,-15.4886,0
1959640318,180.969,181.215,3.98236,6.59402,14.8304,13.2769,0.031071,-0.578333,19.4231,-24.243,-19.8188,-33.7027,0.0344295,-15.9962,0
1959857293,182.054,182.589,3.93115,6.23054,14.8305,14.0215,0.0161797,-0.798422,6.42353,-16.9172,-13.882,-33.9712,0.0349134,-16.4372,0
1960046036,183.007,183.691,4.02241,5.86344,14.8333,14.3927,0.00881207,-0.83384,-0.261421,-13.1385,-8.26913,-30.1824,0.0349829,-16.7032,0
1960263404,184.087,184.874,3.8144,5.37829,14.8335,14.412,0.00843121,-0.892671,-1.55815,-13.887,-3.3817,-28.3233,0.0349316,-16.9949,0
1960452138,184.893,185.877,2.70556,5.42093,14.8315,14.3797,0.0090353,-0.870722,-3.05135,-16.2479,-9.22668,-39.2794,0.0348627,-17.2767,0
1960669736,185.287,186.943,0.825193,4.42967,14.8317,14.3954,0.00872749,-1.21122,-9.85422,-22.6082,-18.6815,-52.9094,0.0346027,-17.7075,0
1960863280,185.429,187.673,0.274594,3.5424,14.8325,14.1429,0.0137921,-1.46783,-12.0153,-31.9969,-13.7955,-53.0006,0.0341894,-18.2355,0
1961055376,185.49,188.222,0.033172,2.45864,14.834,13.4118,0.0284433,-1.28752,-6.70284,-46.873,-8.74101,-41.4352,0.0338586,-19.0074,0
1961272139,185.519,188.563,-0.085987,0.618823,14.8337,12.4209,0.0482564,-0.705371,3.02181,-62.7385,-1.93434,-16.2726,0.0338021,-20.2237,0
1961466695,185.529,188.52,-0.122031,-0.554961,14.8358,11.7901,0.0609151,-0.0630831,11.212,-69.8839,4.65657,2.78365,0.0340807,-21.5338,0
1961681745,185.534,188.382,-0.131241,-0.322353,14.8333,11.5837,0.0649913,0.654874,14.9851,-70.8586,-0.503708,8.7072,0.0346093,-23.0498,0
1961870826,185.535,188.342,-0.13575,-0.139095,14.8338,11.7041,0.062593,1.1053,14.0046,-69.0498,-9.11442,12.2368,0.0351261,-24.3796,0
1962088819,185.536,188.327,-0.137353,0.193394,14.8341,12.4811,0.0470595,1.35503,4.76676,-59.505,-15.6332,13.0813,0.0355017,-25.78,0
1962281781,185.536,188.352,-0.139808,0.0973413,14.8302,13.3983,0.0286395,1.30345,-7.4047,-47.8271,-19.2051,14.7546,0.0354326,-26.8042,0
1962494581,185.537,188.391,-0.142212,0.310947,14.8351,14.2605,0.0114917,1.09089,-19.633,-36.3508,-19.9691,10.9488,0.0348705,-27.6777,0
1962687266,185.568,188.484,0.329751,0.742319,14.831,14.6255,0.00410894,0.860054,-25.5715,-31.6233,-19.1425,8.47274,0.0340509,-28.3204,0
1962900828,185.774,188.636,0.769834,0.874603,14.8342,14.8065,0.000552368,0.634943,-27.6636,-28.4822,-12.495,8.3657,0.0329994,-28.9558,0
1963093739,186.036,188.823,1.06873,1.16252,14.8325,14.8616,-0.000580997,0.455851,-27.757,-26.8943,-9.53264,5.86358,0.0320249,-29.4877,0
1963286639,186.341,189.059,1.12937,1.55861,14.8321,14.8358,-7.50542e-05,0.333315,-26.7107,-26.5994,-8.14214,0.736713,0.0310648,-29.9974,0
1963503341,186.698,189.399,1.19789,1.64072,14.8325,14.6573,0.0035041,0.238015,-23.9127,-29.0795,-8.161,-0.90537,0.030066,-30.6003,0
1963696909,187.01,189.709,1.07785,1.51632,14.8308,14.4961,0.00669319,0.160489,-21.566,-31.3805,-8.00941,-2.07048,0.0292725,-31.1894,0
1963910005,187.364,190.008,1.12239,1.45683,14.8331,14.1136,0.0143909,0.0839672,-15.5122,-36.3406,-4.74928,-2.29778,0.0285592,-31.9114,0
1964101975,187.684,190.232,1.24419,1.0346,14.8302,13.9732,0.0171396,0.0985172,-12.6466,-37.3304,-0.296135,3.19254,0.0280873,-32.6301,0
1964319307,188.049,190.476,1.29388,0.898586,14.8316,13.9422,0.0177885,0.152868,-11.006,-36.5983,0.470272,5.75985,0.0276145,-33.4316,0
1964513256,188.387,190.633,1.31016,0.685932,14.8304,14.1005,0.0145984,0.208363,-11.4656,-32.583,2.35975,8.85373,0.0272234,-34.1031,0
1964726452,188.772,190.908,1.27203,1.59589,14.8311,14.4835,0.00695171,0.282591,-15.8511,-26.0404,-4.5585,0.816301,0.0267122,-34.7272,0
1964918074,189.097,191.205,1.20239,1.17193,14.8308,14.7249,0.00211834,0.159291,-19.1091,-22.2395,-4.74269,2.61307,0.026065,-35.1707,0
1965110740,189.421,191.422,1.23318,1.32631,14.8297,14.6668,0.00325779,0.15551,-17.2208,-22.0255,-2.04261,1.31977,0.0254318,-35.5948,0
1965328864,189.783,191.686,1.30407,0.966612,14.8324,14.6786,0.00307724,0.148476,-16.3858,-20.9264,-0.693798,5.44356,0.0247648,-36.0642,0
1965517284,190.117,191.869,1.36418,0.79921,14.8291,14.683,0.00292198,0.179058,-15.0251,-19.3368,1.63768,8.12669,0.0242285,-36.4425,0
1965734771,190.507,191.994,1.45012,-0.199977,14.83,14.9019,-0.0014381,0.113786,-15.6479,-13.51,8.13686,17.899,0.0236286,-36.8069,0
1965926882,190.859,191.962,1.35704,0.325036,14.8298,15.0377,-0.00415789,0.144709,-13.9226,-7.71338,11.8789,12.3591,0.023121,-37.0043,0
1966120762,191.183,192.09,1.29215,1.02825,14.8307,15.2425,-0.00823587,0.256273,-15.0834,-2.69934,3.70109,6.61977,0.0225979,-37.0918,0
1966333242,191.543,192.285,1.34659,0.777082,14.8299,15.2562,-0.00852703,0.0619748,-13.6928,-0.865601,3.29682,6.66051,0.0220333,-37.1257,0
1966527639,191.844,192.47,1.16047,0.941015,14.8296,15.4899,-0.0132062,-0.196255,-16.1421,3.87817,3.3919,-0.683249,0.0215252,-37.1028,0
1966744264,192.141,192.741,0.950463,1.80126,14.831,15.9534,-0.0224471,-0.270678,-23.1656,11.3853,-0.256444,-12.3036,0.0207442,-36.9226,0
1966936926,192.384,193.031,0.996782,0.853921,14.8315,16.0731,-0.0248314,-0.393757,-25.5281,12.842,2.61578,-4.52878,0.0198564,-36.679,0
1967129909,192.671,193.116,1.21633,0.0454651,14.8281,15.4467,-0.0123732,-0.481018,-13.7265,5.0033,14.2684,4.24319,0.0191451,-36.4964,0
1967347331,192.996,193.157,1.1672,0.117179,14.827,14.6118,0.00430355,-0.382961,1.58353,-4.7511,16.1901,4.63855,0.0189883,-36.5315,0
