timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1816795111,26.7588,29.52,101004.0,1.20009
1816805170,26.8433,29.52,101003.0,1.20008
1816825285,26.0929,29.52,101012.0,1.20019
1816835334,26.6769,29.52,101005.0,1.20011
1816845569,26.9279,29.52,101002.0,1.20007
1816865686,26.5923,29.52,101006.0,1.20012
1816875738,26.7588,29.52,101004.0,1.20009
1816885787,26.7588,29.52,101004.0,1.20009
1816905966,26.5104,29.52,101007.0,1.20013
1816916016,26.9279,29.52,101002.0,1.20007
1816926065,26.6769,29.52,101005.0,1.20011
1816946396,26.9279,29.52,101002.0,1.20007
1816956495,27.0098,29.52,101001.0,1.20006
1816966550,26.5923,29.52,101006.0,1.20012
1816986846,26.7588,29.51,101004.0,1.20009
1816996895,26.7588,29.51,101004.0,1.20009
1817007156,26.4258,29.51,101008.0,1.20014
1817027322,26.4258,29.52,101008.0,1.20014
1817037523,26.0929,29.52,101012.0,1.20019
1817047590,25.8419,29.52,101015.0,1.20023
1817067687,26.4258,29.52,101008.0,1.20014
1817077746,26.8433,29.52,101003.0,1.20008
1817087941,26.5923,29.52,101006.0,1.20012
1817108037,26.2594,29.52,101010.0,1.20017
1817118095,26.7588,29.52,101004.0,1.20009
1817128143,26.5104,29.52,101007.0,1.20013
1817148427,26.6769,29.53,101005.0,1.20011
1817158479,26.6769,29.53,101005.0,1.20011
1817168537,26.5104,29.53,101007.0,1.20013
1817188778,26.5104,29.52,101007.0,1.20013
1817198868,26.4258,29.52,101008.0,1.20014
1817208926,26.3413,29.52,101009.0,1.20015
1817229249,26.4258,29.52,101008.0,1.20014
1817239329,26.6769,29.52,101005.0,1.20011
1817249532,26.7588,29.52,101004.0,1.20009
1817269625,26.8433,29.52,101003.0,1.20008
1817279676,26.8433,29.52,101003.0,1.20008
1817289724,26.6769,29.52,101005.0,1.20011
1817310019,26.2594,29.52,101010.0,1.20017
1817320070,26.9279,29.52,101002.0,1.20007
1817330189,26.5923,29.52,101006.0,1.20012
1817350398,26.5923,29.52,101006.0,1.20012
1817360446,26.5923,29.52,101006.0,1.20012
1817370494,26.3413,29.52,101009.0,1.20015
1817390830,26.6769,29.52,101005.0,1.20011
1817400880,26.8433,29.52,101003.0,1.20008
1817410928,26.7588,29.52,101004.0,1.20009
1817431207,26.3413,29.53,101009.0,1.20015
1817441265,26.8433,29.53,101003.0,1.20008
1817451330,26.5923,29.53,101006.0,1.20012
1817471640,26.6769,29.53,101005.0,1.20011
1817481710,26.4258,29.53,101008.0,1.20014
1817491910,26.5923,29.53,101006.0,1.20012
1817512008,26.4258,29.52,101008.0,1.20014
1817522063,26.5104,29.52,101007.0,1.20013
1817532111,26.5104,29.52,101007.0,1.20013
1817552468,26.5923,29.52,101006.0,1.20012
1817562516,26.4258,29.52,101008.0,1.20014
1817572802,26.2594,29.52,101010.0,1.20017
1817592921,26.8433,29.52,101003.0,1.20008
1817603116,26.7588,29.52,101004.0,1.20009
1817613177,26.5923,29.52,101006.0,1.20012
1817633335,26.3413,29.52,101009.0,1.20015
1817643383,26.2594,29.52,101010.0,1.20017
1817653556,26.8433,29.52,101003.0,1.20008
1817673692,26.4258,29.52,101008.0,1.20014
1817683895,27.0098,29.52,101001.0,1.20006
1817693950,26.1748,29.52,101011.0,1.20018
1817714091,26.4258,29.52,101008.0,1.20014
1817724142,26.6769,29.52,101005.0,1.20011
1817734345,27.0098,29.52,101001.0,1.20006
1817754439,26.6769,29.53,101005.0,1.20011
1817764489,26.8433,29.53,101003.0,1.20008
1817774541,26.6769,29.53,101005.0,1.20011
1817794743,26.2594,29.52,101010.0,1.20017
1817804797,26.3413,29.52,101009.0,1.20015
1817814846,26.5104,29.52,101007.0,1.20013
1817834943,26.4258,29.53,101008.0,1.20014
1817844993,26.1748,29.53,101011.0,1.20018
1817855164,26.4258,29.53,101008.0,1.20014
1817875266,26.9279,29.52,101002.0,1.20007
1817885322,26.8433,29.52,101003.0,1.20008
1817895372,26.4258,29.52,101008.0,1.20014
1817915639,26.0929,29.52,101012.0,1.20019
1817925688,26.3413,29.52,101009.0,1.20015
1817935755,26.6769,29.52,101005.0,1.20011
1817955964,26.2594,29.52,101010.0,1.20017
1817966023,26.7588,29.52,101004.0,1.20009
1817976075,26.3413,29.52,101009.0,1.20015
1817996166,26.5923,29.53,101006.0,1.20012
1818006344,26.5104,29.53,101007.0,1.20013
1818016396,26.8433,29.53,101003.0,1.20008
1818036766,26.7588,29.53,101004.0,1.20009
1818046814,26.5923,29.53,101006.0,1.20012
1818056894,26.5104,29.53,101007.0,1.20013
1818077220,27.0917,29.53,101000.0,1.20005
1818087269,26.6769,29.53,101005.0,1.20011
1818097346,26.7588,29.53,101004.0,1.20009
1818117580,26.1748,29.53,101011.0,1.20018
1818127682,26.5923,29.53,101006.0,1.20012
1818137731,26.5104,29.53,101007.0,1.20013
1818158018,26.1748,29.53,101011.0,1.20018
1818168151,26.0929,29.53,101012.0,1.20019
