timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1816796542,40.4364953696,-86.893676532,155.569,125.15,-0.0,0.362215,-0.0259603,-0.0151357,-0.741623,0.810255,1.66213,0.0,3,0,0,0
1816997464,40.436496079,-86.8936772673,155.58,125.153,-0.0,0.212372,-0.0453057,0.0351186,-0.777038,0.809482,1.66205,0.0,3,0,0,0
1817202142,40.4364964185,-86.8936780175,155.594,125.158,-0.0,0.104257,-0.0535322,-0.00306139,-0.767939,0.809193,1.66207,0.0,3,0,0,0
1817404542,40.4364966065,-86.8936787143,155.6,125.14,-0.0,0.0728496,-0.0636187,-0.00131118,-0.770074,0.808427,1.662,0.0,3,0,0,0
1817605342,40.4364967067,-86.8936794296,155.591,125.131,-0.0,0.0398425,-0.0803514,0.0234793,-0.779208,0.807881,1.66182,0.0,3,0,0,0
1817806945,40.4364968029,-86.8936800943,155.575,125.102,-0.0,0.0357255,-0.0861672,0.0302807,-0.791297,0.807269,1.66179,0.0,3,0,0,0
1818005362,40.4364968797,-86.893680736,155.568,125.081,-0.0,0.0336623,-0.0939478,0.018364,-0.794587,0.806729,1.66178,0.0,3,0,0,0
1818211742,40.4364968962,-86.8936813556,155.556,125.057,-0.0,0.0122749,-0.112452,0.0328386,-0.794632,0.806379,1.66183,0.0,3,0,0,0
1818412542,40.4364968298,-86.8936819545,155.549,125.025,-0.0,-0.0116889,-0.121796,0.0213271,-0.78062,0.805643,1.66178,0.0,3,0,0,0
1818613342,40.4364967144,-86.8936825354,155.542,125.005,-0.0,-0.0128865,-0.131832,0.0128079,-0.759144,0.805155,1.66177,0.0,3,0,0,0
1818822942,40.4364966169,-86.8936831495,155.535,124.985,-0.0,-0.0102,-0.160732,0.0230253,-0.744581,0.805104,1.66168,0.0,3,0,0,0
1819019742,40.436496454,-86.8936837681,155.525,124.962,-0.0,-0.0509894,-0.162176,0.0138377,-0.704037,0.804759,1.66167,0.0,3,0,0,0
1819228574,40.4364963309,-86.89368436,155.518,124.942,-0.0,-0.031834,-0.159725,0.0168224,-0.672199,0.804607,1.6617,0.0,3,0,0,0
1819429342,40.4364962558,-86.8936848729,155.514,124.924,-0.0,-0.0176635,-0.164047,0.0162351,-0.651032,0.804367,1.66171,0.0,3,0,0,0
1819630942,40.4364962713,-86.8936853645,155.517,124.912,-0.0,-0.00362139,-0.172701,-0.00723632,-0.638562,0.80406,1.66156,0.0,3,0,0,0
1819831742,40.4364963329,-86.8936858326,155.515,124.895,-0.0,0.0153302,-0.172507,0.0246863,-0.637087,0.803891,1.66158,0.0,3,0,0,0
1820034170,40.4364964377,-86.8936862815,155.507,124.872,-0.0,0.0126081,-0.193116,0.0314097,-0.64017,0.80386,1.6616,0.0,3,0,0,0
1820234142,40.4364965609,-86.8936867406,155.498,124.849,-0.0,0.00106928,-0.2148,0.0357958,-0.641461,0.803849,1.66162,0.0,3,0,0,0
1820434945,40.4364966864,-86.8936871934,155.497,124.833,-0.0,0.00987836,-0.215191,-0.00655277,-0.630208,0.803799,1.66149,0.0,3,0,0,0
