timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1816633853,1583523256399816,404364963,-868936801,158223,124771,0.175,0.336189,0.543,0.922,0.55,0.99,105,16,0.084,0.004,-0.084,-0.049,3.7616,0,nan,0.0,4,1,20
1816802841,1583523256599816,404364962,-868936801,158145,124693,0.178,0.750421,0.539,0.918,0.55,0.99,105,16,0.221,0.2,-0.093,-0.084,4.11077,0,nan,0.0,4,1,20
1817000055,1583523256799816,404364965,-868936806,158096,124644,0.166,0.545707,0.535,0.917,0.55,0.99,105,16,0.327,0.27,-0.183,-0.084,5.14181,0,nan,0.0,4,1,20
1817200052,1583523256999817,404364968,-868936812,158063,124611,0.155,0.545715,0.531,0.914,0.55,0.99,105,15,0.056,0.003,-0.056,0.017,5.14181,0,nan,0.0,4,1,20
1817391357,1583523257199816,404364968,-868936819,157972,124520,0.153,0.545723,0.527,0.91,0.55,0.99,105,15,0.108,0.038,-0.101,0.037,5.14181,0,nan,0.0,4,1,20
1817598617,1583523257399816,404364970,-868936824,157923,124471,0.189,0.545732,0.524,0.907,0.55,0.99,105,15,0.07,0.052,-0.046,0.054,5.14181,0,nan,0.0,4,1,20
1817798022,1583523257599816,404364969,-868936828,157904,124451,0.207,0.545743,0.52,0.901,0.55,0.99,105,15,0.035,0.022,-0.028,-0.038,5.14181,0,nan,0.0,4,1,20
1818003239,1583523257799815,404364966,-868936831,157892,124440,0.185,0.545752,0.515,0.895,0.55,0.99,105,15,0.05,-0.036,-0.035,0.029,5.14181,0,nan,0.0,4,1,20
1818206010,1583523257999816,404364964,-868936836,157886,124434,0.191,0.545762,0.512,0.889,0.55,0.99,105,6,0.026,0.014,-0.022,-0.019,5.14181,0,nan,0.0,4,1,20
1818398605,1583523258199815,404364962,-868936841,157853,124401,0.178,0.545771,0.51,0.886,0.55,0.99,105,6,0.036,-0.031,0.018,0.011,5.14181,0,nan,0.0,4,1,20
1818597065,1583523258399815,404364961,-868936846,157825,124373,0.198,0.54578,0.508,0.883,0.55,0.99,105,6,0.023,-0.022,-0.003,0.009,5.14181,0,nan,0.0,4,1,20
1818797037,1583523258599815,404364962,-868936851,157802,124350,0.21,0.545791,0.506,0.881,0.54,0.99,105,6,0.02,-0.012,-0.016,0.018,5.14181,0,nan,0.0,4,1,21
1818994442,1583523258799815,404364963,-868936854,157769,124317,0.215,0.545802,0.504,0.879,0.54,0.99,105,6,0.039,-0.039,0.003,-0.038,5.14181,0,nan,0.0,4,1,21
1819199241,1583523258999816,404364963,-868936857,157743,124291,0.234,0.545814,0.503,0.876,0.54,0.99,105,5,0.024,-0.016,0.018,-0.059,5.14181,0,nan,0.0,4,1,21
1819400117,1583523259199815,404364966,-868936859,157679,124227,0.225,0.545825,0.5,0.875,0.54,0.99,105,5,0.036,0.028,0.022,-0.062,5.14181,0,nan,0.0,4,1,21
1819605014,1583523259399815,404364967,-868936862,157648,124196,0.24,0.545837,0.496,0.874,0.54,0.99,105,5,0.027,-0.02,-0.019,0.096,5.14181,0,nan,0.0,4,1,21
