timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1816793344,0.235124,0.152635,0.532395
1816803746,0.227616,0.131282,0.539258
1816815742,0.229679,0.14013,0.534074
1816824542,0.233742,0.148174,0.49159
1816834145,0.233572,0.158997,0.49475
1816844542,0.228685,0.157023,0.486025
1816854145,0.218969,0.159143,0.500768
1816865342,0.218969,0.159143,0.500768
1816876564,0.234465,0.144299,0.478103
1816885343,0.246662,0.153366,0.483665
1816896542,0.217274,0.153732,0.499093
1816905342,0.230376,0.158851,0.487777
1816916542,0.230376,0.158851,0.487777
1816926308,0.239356,0.149856,0.486751
1816936542,0.242067,0.156291,0.536091
1816946151,0.227988,0.138302,0.532322
1816956538,0.226289,0.129307,0.530723
1816966943,0.226289,0.129307,0.530723
1816977466,0.230664,0.160167,0.549005
1816986975,0.224635,0.159728,0.528278
1816997464,0.228013,0.159801,0.53186
1817006947,0.22277,0.16514,0.529762
1817018171,0.22277,0.16514,0.529762
1817029342,0.228017,0.163385,0.531783
1817038143,0.228029,0.174134,0.531551
1817049381,0.224461,0.166968,0.531515
1817058147,0.222952,0.165067,0.526371
1817069342,0.233099,0.176036,0.536886
1817078947,0.217354,0.177718,0.530902
1817089342,0.233458,0.172306,0.530181
1817098951,0.214678,0.155853,0.514219
1817109342,0.212111,0.183056,0.528805
1817118943,0.219743,0.154171,0.51963
1817130306,0.219743,0.154171,0.51963
1817139743,0.204789,0.165213,0.532199
1817150146,0.215663,0.175889,0.529149
1817159742,0.210044,0.170624,0.534065
1817170142,0.204611,0.168869,0.535513
1817190942,0.215093,0.154609,0.539785
1817202142,0.214746,0.169088,0.546258
1817210943,0.217701,0.163238,0.524428
1817222142,0.215468,0.165213,0.532772
1817231744,0.215468,0.165213,0.532772
1817242269,0.204603,0.161703,0.535667
1817251743,0.222754,0.150807,0.53007
1817262144,0.22392,0.17077,0.54161
1817271750,0.206476,0.163458,0.534029
1817282142,0.2168,0.17077,0.541229
1817293346,0.213963,0.166895,0.527551
1817302945,0.203114,0.177718,0.530139
1817312542,0.21565,0.16514,0.529381
1817322942,0.221062,0.148979,0.528318
1817332543,0.213224,0.156438,0.541346
1817343758,0.213224,0.156438,0.541346
1817354317,0.215291,0.168869,0.536085
1817363909,0.213612,0.177791,0.534102
1817374945,0.217527,0.170478,0.527665
1817383743,0.215287,0.165286,0.536163
1817394962,0.215287,0.165286,0.536163
1817404542,0.222588,0.165213,0.533153
1817414958,0.218669,0.168942,0.539667
1817424542,0.211553,0.172525,0.539209
1817435742,0.202912,0.159874,0.533915
1817446145,0.202912,0.159874,0.533915
1817455745,0.21486,0.155779,0.510828
1817465492,0.231403,0.170624,0.53521
1817475769,0.2093,0.156584,0.547937
1817485343,0.211735,0.172452,0.535818
1817495742,0.224085,0.156364,0.538528
1817507742,0.222778,0.172306,0.529608
1817516542,0.201411,0.16514,0.528617
1817527856,0.231217,0.167114,0.538678
1817536542,0.221869,0.172672,0.546563
1817547742,0.226156,0.172379,0.53319
1817557343,0.203833,0.170259,0.516729
1817567749,0.21283,0.175597,0.515395
1817577342,0.221257,0.159655,0.524696
1817587742,0.206306,0.174281,0.537188
1817597343,0.213612,0.177791,0.534102
1817608542,0.213612,0.177791,0.534102
1817618144,0.217164,0.170624,0.534447
1817628548,0.225011,0.170332,0.521265
1817638143,0.213596,0.163458,0.53441
1817648542,0.21023,0.174134,0.530597
1817669366,0.206852,0.174061,0.527015
1817680546,0.190921,0.172233,0.5245
1817689342,0.211723,0.161703,0.536049
1817698953,0.197483,0.161703,0.535285
1817700542,0.197508,0.183202,0.534823
1817710142,0.197508,0.183202,0.534823
1817720542,0.21565,0.16514,0.529381
1817730145,0.22315,0.179326,0.522672
1817740553,0.21006,0.184957,0.533757
1817750169,0.206496,0.181374,0.533643
1817761375,0.219788,0.193586,0.518782
1817770942,0.206691,0.19205,0.530021
1817781342,0.207038,0.177571,0.523547
1817790942,0.209092,0.179253,0.518518
1817801344,0.201981,0.18642,0.517982
1817810945,0.204624,0.179619,0.535282
1817822155,0.2194,0.172233,0.526026
1817832554,0.221459,0.177498,0.52092
1817842149,0.212115,0.186639,0.528728
1817853342,0.201076,0.190368,0.53486
1817862142,0.205346,0.175743,0.521795
1817873344,0.205346,0.175743,0.521795
1817882942,0.204636,0.190368,0.535051
1817893342,0.210238,0.181301,0.530443
1817902946,0.201229,0.165213,0.532008
1817914317,0.21601,0.16141,0.522676
1817923742,0.21601,0.16141,0.522676
1817924543,0.21601,0.16141,0.522676
1817934154,0.203461,0.163238,0.523665
1817943881,0.204801,0.175962,0.531968
1817954171,0.200878,0.176109,0.538559
1817963742,0.208729,0.179399,0.5253
1817974963,0.208729,0.179399,0.5253
1817985508,0.197136,0.176182,0.541759
1817994942,0.205943,0.174427,0.54397
1818005362,0.215117,0.176109,0.539322
1818014943,0.206311,0.177864,0.537111
1818026272,0.206311,0.177864,0.537111
1818035762,0.208361,0.175962,0.532159
1818046142,0.18816,0.18876,0.542708
1818055743,0.206868,0.188394,0.526707
1818066148,0.213434,0.181447,0.537416
1818076545,0.208002,0.179692,0.538864
1818086942,0.200886,0.183275,0.538405
1818096545,0.199914,0.173988,0.523243
1818106942,0.201072,0.186785,0.534937
1818116546,0.217354,0.177718,0.530902
1818126942,0.204809,0.183129,0.531814
1818138272,0.204809,0.183129,0.531814
1818147742,0.201601,0.172233,0.525072
1818158946,0.208179,0.176036,0.53555
1818167753,0.215865,0.193732,0.525373
1818178942,0.206839,0.163311,0.527247
1818188543,0.206839,0.163311,0.527247
1818198942,0.195259,0.170844,0.543475
1818208545,0.20987,0.177864,0.537302
1818219742,0.193754,0.172525,0.538254
1818228543,0.192257,0.181374,0.53288
1818239752,0.192257,0.181374,0.53288
1818249342,0.211557,0.176109,0.539132
1818259742,0.213984,0.184811,0.527166
1818269357,0.212454,0.164993,0.522408
1818279742,0.204805,0.179546,0.531891
1818300543,0.208175,0.172452,0.535627
1818311742,0.210792,0.188248,0.520116
1818320555,0.202565,0.174354,0.540388
1818331742,0.201241,0.175962,0.531777
1818340542,0.202932,0.177791,0.53353
1818351754,0.207993,0.172525,0.539018
1818361361,0.197326,0.183275,0.538214
1818371762,0.192612,0.174061,0.526252
1818381343,0.206488,0.174207,0.533797
1818391742,0.183805,0.175816,0.524041
1818402942,0.183805,0.175816,0.524041
1818412542,0.212462,0.17216,0.522254
1818422330,0.203304,0.184811,0.526594
1818432577,0.211562,0.179692,0.539055
1818442150,0.217172,0.177791,0.534293
1818453490,0.217172,0.177791,0.534293
1818463885,0.204074,0.176255,0.545532
1818473342,0.221831,0.184518,0.513984
1818484569,0.21042,0.181228,0.527052
1818493342,0.208179,0.176036,0.53555
1818504559,0.208179,0.176036,0.53555
1818514143,0.199377,0.181374,0.533262
1818524546,0.21565,0.16514,0.529381
1818534143,0.208725,0.175816,0.525377
1818545342,0.193762,0.179692,0.5381
1818555742,0.193762,0.179692,0.5381
1818565342,0.215126,0.183275,0.539168
1818574943,0.19733,0.186858,0.538137
1818585342,0.199352,0.159874,0.533724
1818594942,0.213959,0.163311,0.527628
1818605342,0.207376,0.155926,0.517228
1818616658,0.216187,0.157754,0.519362
1818626142,0.201229,0.165213,0.532008
1818637345,0.220534,0.163531,0.538183
1818646142,0.215283,0.161703,0.53624
1818657511,0.21735,0.174134,0.530979
1818666944,0.21735,0.174134,0.530979
1818677366,0.209676,0.167187,0.540924
1818687086,0.215121,0.179692,0.539245
1818698318,0.211735,0.172452,0.535818
1818706943,0.207744,0.159363,0.510369
1818718142,0.207744,0.159363,0.510369
1818727747,0.210213,0.159801,0.530905
1818738147,0.204425,0.165359,0.538981
1818748542,0.211727,0.165286,0.535972
1818758162,0.199005,0.174354,0.540198
1818778951,0.223734,0.16726,0.545078
1818790142,0.225975,0.172452,0.536581
1818798943,0.202573,0.18152,0.540234
1818810318,0.219033,0.168796,0.532885
1818818942,0.197681,0.175962,0.531586
1818830142,0.212991,0.157608,0.512389
1818839743,0.217878,0.159582,0.521114
1818850942,0.219578,0.168577,0.522712
1818859751,0.204607,0.165286,0.53559
1818870942,0.213054,0.16726,0.544506
1818880543,0.215117,0.176109,0.539322
1818890942,0.224449,0.156218,0.531746
1818900569,0.213034,0.149344,0.544891
1818910972,0.204599,0.158119,0.535744
1818920544,0.215291,0.168869,0.536085
1818931769,0.215291,0.168869,0.536085
1818942968,0.232659,0.155779,0.511782
1818951749,0.213765,0.152635,0.53125
1818963103,0.20815,0.150953,0.536089
1818971742,0.218107,0.154829,0.550148
1818982942,0.218107,0.154829,0.550148
1818992554,0.210374,0.141812,0.5279
1819002942,0.224449,0.156218,0.531746
1819012543,0.210019,0.149125,0.534527
1819023760,0.216433,0.167333,0.548088
1819033342,0.216433,0.167333,0.548088
1819043906,0.221841,0.147589,0.547102
1819053343,0.217308,0.138302,0.531749
1819063736,0.212852,0.149417,0.548282
1819073344,0.218471,0.154682,0.543366
1819083749,0.198617,0.153001,0.547442
1819095749,0.213026,0.142178,0.545045
1819104544,0.227451,0.145688,0.542341
1819115742,0.220141,0.138594,0.545504
